id,latitude,longitude,scientific_name,common_name,taxon_class_name,taxon_genus_name
67694394,38.5702700287,-121.725387291,Haemorhous mexicanus,House Finch,Aves,Haemorhous
67694395,38.5702700287,-121.725387291,Leiothlypis celata,Orange-crowned Warbler,Aves,Leiothlypis
67694397,38.5702700287,-121.725387291,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,Sciurus
67694398,38.5702700287,-121.725387291,Haemorhous mexicanus,House Finch,Aves,Haemorhous
67694399,38.5702700287,-121.725387291,Zenaida macroura,Mourning Dove,Aves,Zenaida
67694400,38.5702700287,-121.725387291,Haemorhous mexicanus,House Finch,Aves,Haemorhous
67694401,38.5702700287,-121.725387291,Calypte anna,Anna's Hummingbird,Aves,Calypte
67694402,38.5702700287,-121.725387291,Regulus calendula,Ruby-crowned Kinglet,Aves,Regulus
67694403,38.5702700287,-121.725387291,Spinus psaltria,Lesser Goldfinch,Aves,Spinus
67694404,38.5702700287,-121.725387291,Haemorhous mexicanus,House Finch,Aves,Haemorhous
67694405,38.5702700287,-121.725387291,Setophaga coronata,Yellow-rumped Warbler,Aves,Setophaga
67694406,38.5702700287,-121.725387291,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
67694407,38.5702700287,-121.725387291,Haemorhous mexicanus,House Finch,Aves,Haemorhous
67694408,38.5702700287,-121.725387291,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
67694410,38.5702700287,-121.725387291,Haemorhous mexicanus,House Finch,Aves,Haemorhous
67694411,38.5702700287,-121.725387291,Melospiza lincolnii,Lincoln's Sparrow,Aves,Melospiza
67694412,38.5702700287,-121.725387291,Zonotrichia leucophrys,White-crowned Sparrow,Aves,Zonotrichia
67694413,38.5702700287,-121.725387291,Psaltriparus minimus,Bushtit,Aves,Psaltriparus
67694414,38.5702700287,-121.725387291,Spinus psaltria,Lesser Goldfinch,Aves,Spinus
67694415,38.5702700287,-121.725387291,Setophaga coronata,Yellow-rumped Warbler,Aves,Setophaga
67694416,38.5702700287,-121.725387291,Setophaga coronata,Yellow-rumped Warbler,Aves,Setophaga
67694417,38.5702700287,-121.725387291,Haemorhous mexicanus,House Finch,Aves,Haemorhous
67694418,38.5702700287,-121.725387291,Aphelocoma californica,California Scrub-Jay,Aves,Aphelocoma
67694419,38.5702700287,-121.725387291,Setophaga coronata,Yellow-rumped Warbler,Aves,Setophaga
67694421,38.5702700287,-121.725387291,Haemorhous mexicanus,House Finch,Aves,Haemorhous
67694422,38.5702700287,-121.725387291,Haemorhous mexicanus,House Finch,Aves,Haemorhous
67694424,38.5702700287,-121.725387291,Calypte anna,Anna's Hummingbird,Aves,Calypte
67694425,38.5702700287,-121.725387291,Felis catus,Domestic Cat,Mammalia,Felis
67694426,38.5702700287,-121.725387291,Melospiza lincolnii,Lincoln's Sparrow,Aves,Melospiza
67694778,38.5704032214,-121.7254600768,Ardea alba,Great Egret,Aves,Ardea
67694779,38.5704032214,-121.7254600768,Spinus psaltria,Lesser Goldfinch,Aves,Spinus
67694780,38.5704032214,-121.7254600768,Spinus psaltria,Lesser Goldfinch,Aves,Spinus
67694782,38.5704032214,-121.7254600768,Cathartes aura,Turkey Vulture,Aves,Cathartes
67694783,38.5704032214,-121.7254600768,Elanus leucurus,White-tailed Kite,Aves,Elanus
67694784,38.5704032214,-121.7254600768,Sayornis nigricans,Black Phoebe,Aves,Sayornis
67720538,38.5577274213,-121.7625824427,Spinus psaltria,Lesser Goldfinch,Aves,Spinus
67724074,38.54283,-121.74115,Spinus psaltria,Lesser Goldfinch,Aves,Spinus
67736064,38.5535167637,-121.7359256389,Haemorhous mexicanus,House Finch,Aves,Haemorhous
67736412,38.5536090431,-121.7359792868,Mimus polyglottos,Northern Mockingbird,Aves,Mimus
67736472,38.5533153916,-121.7356145121,Colaptes auratus,Northern Flicker,Aves,Colaptes
67736492,38.5534160848,-121.7362260591,Spinus pinus,Pine Siskin,Aves,Spinus
67736500,38.5534580283,-121.7360543798,Calypte anna,Anna's Hummingbird,Aves,Calypte
67736667,38.5535251462,-121.7360329331,Spinus psaltria,Lesser Goldfinch,Aves,Spinus
67736765,38.5535251453,-121.7356788659,Calypte anna,Anna's Hummingbird,Aves,Calypte
67752619,38.5702365894,-121.7254517363,Sayornis nigricans,Black Phoebe,Aves,Sayornis
67752620,38.5702365894,-121.7254517363,Haemorhous mexicanus,House Finch,Aves,Haemorhous
67752621,38.5702365894,-121.7254517363,Aphelocoma californica,California Scrub-Jay,Aves,Aphelocoma
67752622,38.5702365894,-121.7254517363,Melospiza lincolnii,Lincoln's Sparrow,Aves,Melospiza
67752623,38.5702365894,-121.7254517363,Setophaga coronata,Yellow-rumped Warbler,Aves,Setophaga
